"Filename, Top_left_lat,Top_left_lon,Bottom_right_lat,Bottom_right_long"
sat_patch_0000.png,17.597029,78.119958,17.595353,78.12195799999999
sat_patch_0001.png,17.597029,78.12195799999999,17.595353,78.12395799999999
sat_patch_0002.png,17.595353,78.119958,17.593677,78.12195799999999
sat_patch_0003.png,17.595353,78.12195799999999,17.593677,78.12395799999999
sat_patch_0004.png,17.593677,78.119958,17.592001,78.12195799999999
sat_patch_0005.png,17.593677,78.12195799999999,17.592001,78.12395799999999
sat_patch_0006.png,17.592001,78.119958,17.590325,78.12195799999999
sat_patch_0007.png,17.592001,78.12195799999999,17.590325,78.12395799999999
sat_patch_0008.png,17.590325,78.119958,17.588649,78.12195799999999
sat_patch_0009.png,17.590325,78.12195799999999,17.588649,78.12395799999999
sat_patch_0010.png,17.588649,78.119958,17.586973,78.12195799999999
sat_patch_0011.png,17.588649,78.12195799999999,17.586973,78.12395799999999
